Time,Pitch,SetPitch,ControlSignal,P_Gain,I_Gain,D_Gain
0.487625,1.88,0.0,-4.68,0.0,0.0,0.0
0.54838,1.89,0.0,-4.7,0.0,0.0,0.0
0.577292,1.89,0.0,-4.74,0.0,0.0,0.0
0.701454,1.89,0.0,-4.73,0.0,0.0,0.0
0.756723,1.89,0.0,-4.74,0.0,0.0,0.0
0.810919,1.88,0.0,-4.73,0.0,0.0,0.0
0.865028,1.87,0.0,-4.71,0.0,0.0,0.0
0.919114,1.88,0.0,-4.69,0.0,0.0,0.0
0.972983,1.88,0.0,-4.7,0.0,0.0,0.0
1.027233,1.89,0.0,-4.72,0.0,0.0,0.0
1.08203,1.88,0.0,-4.73,0.0,0.0,0.0
1.136183,1.87,0.0,-4.72,0.0,0.0,0.0
1.234447,1.89,0.0,-4.7,0.0,0.0,0.0
1.334609,1.87,0.0,-4.74,0.0,0.0,0.0
1.417764,1.87,0.0,-4.69,0.0,0.0,0.0
1.517552,1.85,0.0,-4.68,0.0,0.0,0.0
1.617642,1.86,0.0,-4.63,0.0,0.0,0.0
1.717546,1.88,0.0,-4.66,0.0,0.0,0.0
2.176544,2.36,0.0,-4.79,0.0,0.0,0.0
3.276782,-5.44,0.0,11.29,0.0,0.0,0.0
3.575747,-6.16,0.0,11.37,0.0,0.0,0.0
3.630758,-7.25,0.0,15.39,0.0,0.0,0.0
3.688054,-9.29,0.0,18.11,0.0,0.0,0.0
3.753561,-6.76,0.0,23.22,0.0,0.0,0.0
3.818032,-4.73,0.0,16.89,0.0,0.0,0.0
3.875184,-2.87,0.0,11.81,0.0,0.0,0.0
3.940418,-1.19,0.0,7.17,0.0,0.0,0.0
4.012788,2.12,0.0,2.97,0.0,0.0,0.0
4.116826,-0.87,0.0,-5.31,0.0,0.0,0.0
4.217547,-0.89,0.0,2.18,0.0,0.0,0.0
4.332877,-0.58,0.0,2.22,0.0,0.0,0.0
5.476034,-1.49,0.0,21.76,0.0,0.0,0.0
5.534463,-3.19,0.0,3.71,0.0,0.0,0.0
5.776892,-3.27,0.0,11.84,0.0,0.0,0.0
6.075998,-0.48,0.0,4.96,0.0,0.0,0.0
6.141213,3.26,0.0,-3.48,0.0,0.0,0.0
6.196158,4.9,0.0,-8.17,0.0,0.0,0.0
6.254996,6.39,0.0,-12.25,0.0,0.0,0.0
6.333871,7.82,0.0,-15.98,0.0,0.0,0.0
6.40975,8.97,0.0,-19.55,0.0,0.0,0.0
6.534833,9.93,0.0,-22.44,0.0,0.0,0.0
6.616672,10.89,0.0,-24.84,0.0,0.0,0.0
7.075951,14.02,0.0,-32.61,0.0,0.0,0.0
7.134374,14.97,0.0,-35.07,0.0,0.0,0.0
7.193639,15.78,0.0,-37.43,0.0,0.0,0.0
7.259802,16.51,0.0,-39.47,0.0,0.0,0.0
7.332754,17.13,0.0,-41.3,0.0,0.0,0.0
7.417599,17.62,0.0,-42.82,0.0,0.0,0.0
7.51063,18.1,0.0,-44.07,0.0,0.0,0.0
7.625617,18.25,0.0,-45.27,0.0,0.0,0.0
7.731795,18.22,0.0,-45.64,0.0,0.0,0.0
7.82071,18.06,0.0,-45.57,0.0,0.0,0.0
7.932832,18.0,0.0,-45.16,0.0,0.0,0.0
8.022338,17.28,0.0,-45.01,0.0,0.0,0.0
8.1166,16.42,0.0,-43.22,0.0,0.0,0.0
