Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,179.18,180.0,7.47,9.0,0.0,0.0,180.0
0.0,179.11,180.0,7.86,9.0,0.0,0.0,180.0
0.0,179.13,180.0,7.76,9.0,0.0,0.0,180.0
0.0,179.03,180.0,8.77,9.0,0.0,0.0,180.0
0.0,179.06,180.0,8.49,9.0,0.0,0.0,180.0
0.0,179.06,180.0,8.35,9.0,0.0,0.0,180.0
0.0,179.0,180.0,9.14,9.0,0.0,0.0,180.0
0.0,179.02,180.0,8.66,9.0,0.0,0.0,180.0
0.0,179.09,180.0,8.21,9.0,0.0,0.0,180.0
0.0,179.1,180.0,8.07,9.0,0.0,0.0,180.0
0.0,179.29,180.0,6.6,9.0,0.0,0.0,180.0
0.0,179.58,180.0,4.03,9.0,0.0,0.0,180.0
0.0,179.71,180.0,2.73,9.0,0.0,0.0,180.0
0.0,179.9,180.0,1.38,9.0,0.0,0.0,180.0
0.0,180.1,180.0,-1.12,9.0,0.0,0.0,180.0
0.0,179.86,180.0,1.1,9.0,0.0,0.0,180.0
0.0,179.75,180.0,2.09,9.0,0.0,0.0,180.0
0.0,179.69,180.0,2.82,9.0,0.0,0.0,180.0
0.0,179.64,180.0,3.27,9.0,0.0,0.0,180.0
0.0,179.52,180.0,4.29,9.0,0.0,0.0,180.0
0.0,179.48,180.0,4.65,9.0,0.0,0.0,180.0
0.0,179.41,180.0,5.3,9.0,0.0,0.0,180.0
0.0,179.43,180.0,5.16,9.0,0.0,0.0,180.0
0.0,179.45,180.0,4.94,9.0,0.0,0.0,180.0
0.0,179.53,180.0,4.32,9.0,0.0,0.0,180.0
0.0,179.49,180.0,4.65,9.0,0.0,0.0,180.0
0.0,179.52,180.0,4.34,9.0,0.0,0.0,180.0
0.0,179.39,180.0,5.3,9.0,0.0,0.0,180.0
0.0,179.41,180.0,5.44,9.0,0.0,0.0,180.0
0.0,179.49,180.0,4.32,9.0,0.0,0.0,180.0
0.0,179.4,180.0,5.33,9.0,0.0,0.0,180.0
0.0,179.38,180.0,5.61,9.0,0.0,0.0,180.0
0.0,179.34,180.0,5.9,9.0,0.0,0.0,180.0
0.0,179.34,180.0,6.18,9.0,0.0,0.0,180.0
0.0,179.33,180.0,5.87,9.0,0.0,0.0,180.0
0.0,179.39,180.0,5.53,9.0,0.0,0.0,180.0
0.0,179.39,180.0,5.33,9.0,0.0,0.0,180.0
0.0,179.28,180.0,6.51,9.0,0.0,0.0,180.0
0.0,179.36,180.0,5.72,9.0,0.0,0.0,180.0
0.0,179.34,180.0,6.0,9.0,0.0,0.0,180.0
0.0,179.3,180.0,6.4,9.0,0.0,0.0,180.0
0.0,179.27,180.0,6.65,9.0,0.0,0.0,180.0
0.0,179.13,180.0,7.44,9.0,0.0,0.0,180.0
0.0,179.01,180.0,8.93,9.0,0.0,0.0,180.0
0.0,179.06,180.0,8.71,9.0,0.0,0.0,180.0
0.0,179.16,180.0,7.69,9.0,0.0,0.0,180.0
0.0,179.23,180.0,6.9,9.0,0.0,0.0,180.0
0.0,179.31,180.0,6.34,9.0,0.0,0.0,180.0
0.0,179.28,180.0,6.57,9.0,0.0,0.0,180.0
0.0,179.36,180.0,5.83,12.0,3.0,0.04,180.0
0.0,179.47,180.0,4.99,12.0,3.0,0.04,180.0
0.0,179.47,180.0,4.93,12.0,3.0,0.04,180.0
0.0,179.53,180.0,4.37,12.0,3.0,0.04,180.0
0.0,179.45,180.0,4.71,12.0,3.0,0.04,180.0
0.0,179.43,180.0,5.25,12.0,3.0,0.04,180.0
0.0,179.4,180.0,5.36,12.0,3.0,0.04,180.0
0.0,179.37,180.0,5.61,12.0,3.0,0.04,180.0
0.0,179.4,180.0,5.53,12.0,3.0,0.04,180.0
0.0,179.33,180.0,6.04,12.0,3.0,0.04,180.0
0.0,179.33,180.0,5.89,12.0,3.0,0.04,180.0
0.0,179.23,180.0,6.85,12.0,3.0,0.04,180.0
0.0,179.16,180.0,7.53,12.0,3.0,0.04,180.0
0.0,179.08,180.0,8.26,12.0,3.0,0.04,180.0
0.0,179.02,180.0,8.68,12.0,3.0,0.04,180.0
0.0,178.93,180.0,9.52,12.0,3.0,0.04,180.0
0.0,178.76,180.0,10.96,12.0,3.0,0.04,180.0
0.0,178.59,180.0,12.57,12.0,3.0,0.04,180.0
