Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,181.6,180.0,-14.49,9.0,0.0,0.0,180.0
0.0,181.18,180.0,-11.02,9.0,0.0,0.0,180.0
0.0,180.71,180.0,-6.81,9.0,0.0,0.0,180.0
0.0,180.41,180.0,-3.85,9.0,0.0,0.0,180.0
0.0,180.42,180.0,-3.66,9.0,0.0,0.0,180.0
0.0,180.5,180.0,-4.42,9.0,0.0,0.0,180.0
0.0,180.64,180.0,-5.61,9.0,0.0,0.0,180.0
0.0,180.74,180.0,-6.56,9.0,0.0,0.0,180.0
0.0,181.06,180.0,-9.14,9.0,0.0,0.0,180.0
0.0,181.46,180.0,-12.79,9.0,0.0,0.0,180.0
0.0,181.74,180.0,-15.5,9.0,0.0,0.0,180.0
0.0,181.81,180.0,-16.32,9.0,0.0,0.0,180.0
0.0,181.67,180.0,-15.19,9.0,0.0,0.0,180.0
0.0,181.32,180.0,-12.22,9.0,0.0,0.0,180.0
0.0,181.01,180.0,-9.14,9.0,0.0,0.0,180.0
0.0,181.46,180.0,-12.47,9.0,0.0,0.0,180.0
0.0,182.06,180.0,-18.26,9.0,0.0,0.0,180.0
0.0,181.96,180.0,-17.88,9.0,0.0,0.0,180.0
0.0,181.68,180.0,-15.43,9.0,0.0,0.0,180.0
0.0,181.32,180.0,-12.15,9.0,0.0,0.0,180.0
0.0,180.99,180.0,-9.32,9.0,0.0,0.0,180.0
0.0,180.66,180.0,-6.17,9.0,0.0,0.0,180.0
0.0,180.5,180.0,-4.6,9.0,0.0,0.0,180.0
0.0,180.34,180.0,-3.21,9.0,0.0,0.0,180.0
0.0,180.31,180.0,-2.77,9.0,0.0,0.0,180.0
0.0,180.59,180.0,-4.91,9.0,0.0,0.0,180.0
0.0,181.0,180.0,-8.69,9.0,0.0,0.0,180.0
0.0,181.05,180.0,-9.57,9.0,0.0,0.0,180.0
0.0,180.61,180.0,-5.92,9.0,0.0,0.0,180.0
0.0,180.39,180.0,-3.47,9.0,0.0,0.0,180.0
0.0,180.54,180.0,-4.47,9.0,0.0,0.0,180.0
0.0,181.13,180.0,-9.38,9.0,0.0,0.0,180.0
0.0,181.99,180.0,-17.19,9.0,0.0,0.0,180.0
0.0,182.49,180.0,-22.04,9.0,0.0,0.0,180.0
0.0,182.84,180.0,-25.19,9.0,0.0,0.0,180.0
0.0,182.85,180.0,-25.88,9.0,0.0,0.0,180.0
0.0,182.39,180.0,-21.98,9.0,0.0,0.0,180.0
0.0,181.64,180.0,-15.43,9.0,0.0,0.0,180.0
0.0,181.03,180.0,-9.7,9.0,0.0,0.0,180.0
0.0,180.97,180.0,-8.45,9.0,0.0,0.0,180.0
0.0,181.58,180.0,-13.61,9.0,0.0,0.0,180.0
0.0,181.83,180.0,-16.63,9.0,0.0,0.0,180.0
0.0,181.28,180.0,-12.22,9.0,0.0,0.0,180.0
0.0,180.65,180.0,-6.24,9.0,0.0,0.0,180.0
0.0,180.78,180.0,-6.55,9.0,0.0,0.0,180.0
0.0,181.39,180.0,-11.96,9.0,0.0,0.0,180.0
0.0,181.76,180.0,-15.74,9.0,0.0,0.0,180.0
0.0,181.52,180.0,-14.04,9.0,0.0,0.0,180.0
0.0,181.01,180.0,-9.57,9.0,0.0,0.0,180.0
0.0,180.7,180.0,-6.36,12.0,3.0,0.04,180.0
0.0,180.82,180.0,-7.37,12.0,3.0,0.04,180.0
0.0,180.57,180.0,-5.53,12.0,3.0,0.04,180.0
0.0,179.99,180.0,-0.37,12.0,3.0,0.04,180.0
0.0,179.75,180.0,2.21,12.0,3.0,0.04,180.0
0.0,180.0,180.0,0.38,12.0,3.0,0.04,180.0
0.0,180.38,180.0,-3.08,12.0,3.0,0.04,180.0
0.0,180.84,180.0,-7.11,12.0,3.0,0.04,180.0
0.0,181.55,180.0,-13.28,12.0,3.0,0.04,180.0
0.0,181.89,180.0,-17.0,12.0,3.0,0.04,180.0
0.0,181.73,180.0,-15.74,12.0,3.0,0.04,180.0
0.0,181.69,180.0,-24.41,12.0,3.0,0.04,180.0
0.0,181.05,180.0,-16.14,12.0,3.0,0.04,180.0
0.0,180.5,180.0,-17.98,12.0,3.0,0.04,180.0
0.0,179.78,180.0,-6.86,12.0,3.0,0.04,180.0
0.0,179.62,180.0,-8.16,12.0,3.0,0.04,180.0
0.0,179.62,180.0,-6.0,12.0,3.0,0.04,180.0
0.0,179.15,180.0,3.15,12.0,3.0,0.04,180.0
0.0,179.09,180.0,3.07,12.0,3.0,0.04,180.0
0.0,179.52,180.0,0.58,12.0,3.0,0.04,180.0
0.0,179.78,180.0,5.03,12.0,3.0,0.04,180.0
0.0,179.85,180.0,1.56,12.0,3.0,0.04,180.0
0.0,180.2,180.0,-7.95,12.0,3.0,0.04,180.0
0.0,180.14,180.0,-3.19,12.0,3.0,0.04,180.0
0.0,179.38,180.0,9.41,12.0,3.0,0.04,180.0
0.0,178.55,180.0,23.15,12.0,3.0,0.04,180.0
0.0,179.3,180.0,8.19,12.0,3.0,0.04,180.0
0.0,180.19,180.0,11.43,12.0,3.0,0.04,180.0
0.0,181.29,180.0,-9.66,12.0,3.0,0.04,180.0
0.0,180.45,180.0,-7.23,12.0,3.0,0.04,180.0
0.0,181.18,180.0,-13.68,12.0,3.0,0.04,180.0
0.0,180.29,180.0,-4.25,12.0,3.0,0.04,180.0
0.0,179.39,180.0,3.0,12.0,3.0,0.04,180.0
0.0,180.09,180.0,-4.85,12.0,3.0,0.04,180.0
0.0,178.43,180.0,23.43,12.0,3.0,0.04,180.0
0.0,179.91,180.0,-1.06,12.0,3.0,0.04,180.0
0.0,179.5,180.0,4.49,12.0,3.0,0.04,180.0
0.0,180.0,180.0,10.51,12.0,3.0,0.04,180.0
0.0,180.93,180.0,-9.83,12.0,3.0,0.04,180.0
0.0,180.16,180.0,1.15,12.0,3.0,0.04,180.0
0.0,180.69,180.0,-9.0,12.0,3.0,0.04,180.0
0.0,180.23,180.0,-9.16,12.0,3.0,0.04,180.0
0.0,178.93,180.0,16.7,12.0,3.0,0.04,180.0
0.0,179.4,180.0,-1.36,12.0,3.0,0.04,180.0
0.0,179.19,180.0,19.03,12.0,3.0,0.04,180.0
0.0,180.54,180.0,-6.44,12.0,3.0,0.04,180.0
0.0,180.93,180.0,-15.45,12.0,3.0,0.04,180.0
0.0,182.14,180.0,-30.42,12.0,3.0,0.04,180.0
0.0,179.54,180.0,10.24,12.0,3.0,0.04,180.0
0.0,180.44,180.0,-16.39,12.0,3.0,0.04,180.0
0.0,179.23,180.0,1.1,12.0,3.0,0.04,180.0
0.0,178.77,180.0,13.21,12.0,3.0,0.04,180.0
0.0,178.4,180.0,23.91,12.0,3.0,0.04,180.0
0.0,179.99,180.0,-3.23,12.0,3.0,0.04,180.0
0.0,178.97,180.0,34.98,12.0,3.0,0.04,180.0
0.0,180.53,180.0,-5.99,12.0,3.0,0.04,180.0
0.0,179.66,180.0,11.44,12.0,3.0,0.04,180.0
0.0,180.59,180.0,4.51,12.0,3.0,0.04,180.0
0.0,181.87,180.0,-23.21,12.0,3.0,0.04,180.0
0.0,180.45,180.0,2.5,12.0,3.0,0.04,180.0
0.0,181.23,180.0,-33.04,12.0,3.0,0.04,180.0
0.0,179.72,180.0,11.82,12.0,3.0,0.04,180.0
0.0,180.26,180.0,-21.42,12.0,3.0,0.04,180.0
0.0,179.14,180.0,20.36,12.0,3.0,0.04,180.0
0.0,179.51,180.0,-9.33,12.0,3.0,0.04,180.0
0.0,178.72,180.0,27.38,12.0,3.0,0.04,180.0
0.0,179.88,180.0,-12.06,12.0,3.0,0.04,180.0
0.0,179.67,180.0,16.33,12.0,3.0,0.04,180.0
0.0,180.06,180.0,-6.32,12.0,3.0,0.04,180.0
0.0,179.11,180.0,24.91,12.0,3.0,0.04,180.0
0.0,180.62,180.0,-1.7,12.0,3.0,0.04,180.0
0.0,180.63,180.0,-4.85,12.0,3.0,0.04,180.0
0.0,180.4,180.0,7.35,12.0,3.0,0.04,180.0
0.0,180.95,180.0,-22.41,12.0,3.0,0.04,180.0
0.0,179.36,180.0,18.27,12.0,3.0,0.04,180.0
0.0,181.19,180.0,-26.11,12.0,3.0,0.04,180.0
0.0,178.88,180.0,21.85,12.0,3.0,0.04,180.0
0.0,181.13,180.0,-23.06,12.0,3.0,0.04,180.0
0.0,178.19,180.0,30.88,12.0,3.0,0.04,180.0
0.0,180.69,180.0,-13.23,12.0,3.0,0.04,180.0
0.0,179.28,180.0,14.7,12.0,3.0,0.04,180.0
0.0,180.26,180.0,-6.65,12.0,3.0,0.04,180.0
0.0,181.62,180.0,-13.87,12.0,3.0,0.04,180.0
0.0,180.12,180.0,-14.48,12.0,3.0,0.04,180.0
0.0,181.01,180.0,-3.94,12.0,3.0,0.04,180.0
0.0,180.05,180.0,-5.36,12.0,3.0,0.04,180.0
0.0,180.45,180.0,-11.39,12.0,3.0,0.04,180.0
0.0,180.1,180.0,-5.7,12.0,3.0,0.04,180.0
0.0,179.27,180.0,7.28,12.0,3.0,0.04,180.0
0.0,178.32,180.0,10.58,12.0,3.0,0.04,180.0
0.0,179.21,180.0,17.93,12.0,3.0,0.04,180.0
0.0,178.46,180.0,23.16,12.0,3.0,0.04,180.0
0.0,180.58,180.0,-7.68,12.0,3.0,0.04,180.0
0.0,180.22,180.0,3.16,12.0,3.0,0.04,180.0
0.0,181.02,180.0,-10.34,12.0,3.0,0.04,180.0
0.0,180.93,180.0,-13.16,12.0,3.0,0.04,180.0
0.0,180.39,180.0,2.53,12.0,3.0,0.04,180.0
0.0,180.82,180.0,-9.48,12.0,3.0,0.04,180.0
0.0,179.37,180.0,13.89,12.0,3.0,0.04,180.0
0.0,179.78,180.0,-1.34,12.0,3.0,0.04,180.0
0.0,179.88,180.0,-3.1,12.0,3.0,0.04,180.0
0.0,179.53,180.0,7.91,12.0,3.0,0.04,180.0
0.0,179.74,180.0,4.18,12.0,3.0,0.04,180.0
0.0,179.49,180.0,9.8,12.0,3.0,0.04,180.0
0.0,178.75,180.0,23.74,12.0,3.0,0.04,180.0
0.0,180.11,180.0,-2.86,12.0,3.0,0.04,180.0
0.0,180.23,180.0,2.42,12.0,3.0,0.04,180.0
0.0,181.16,180.0,-12.24,12.0,3.0,0.04,180.0
0.0,180.75,180.0,-13.24,12.0,3.0,0.04,180.0
0.0,180.33,180.0,3.96,12.0,3.0,0.04,180.0
0.0,180.16,180.0,-5.29,12.0,3.0,0.04,180.0
0.0,179.03,180.0,19.48,12.0,3.0,0.04,180.0
0.0,180.54,180.0,-8.87,12.0,3.0,0.04,180.0
0.0,179.17,180.0,12.29,12.0,3.0,0.04,180.0
0.0,179.38,180.0,17.41,12.0,3.0,0.04,180.0
0.0,180.08,180.0,6.43,12.0,3.0,0.04,180.0
