Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,181.26,180.0,-10.86,9.0,0.0,0.0,180.0
0.0,181.26,180.0,-11.18,9.0,0.0,0.0,180.0
0.0,181.28,180.0,-11.62,9.0,0.0,0.0,180.0
0.0,181.25,180.0,-11.18,9.0,0.0,0.0,180.0
0.0,181.3,180.0,-11.74,9.0,0.0,0.0,180.0
0.0,181.25,180.0,-11.24,9.0,0.0,0.0,180.0
0.0,181.09,180.0,-9.98,9.0,0.0,0.0,180.0
0.0,180.65,180.0,-6.45,9.0,0.0,0.0,180.0
0.0,180.46,180.0,-4.5,9.0,0.0,0.0,180.0
0.0,180.59,180.0,-4.81,9.0,0.0,0.0,180.0
0.0,181.13,180.0,-10.42,9.0,0.0,0.0,180.0
0.0,180.75,180.0,-7.02,9.0,0.0,0.0,180.0
0.0,181.26,180.0,-11.24,9.0,0.0,0.0,180.0
0.0,181.0,180.0,-8.46,9.0,0.0,0.0,180.0
0.0,180.65,180.0,-5.89,9.0,0.0,0.0,180.0
0.0,180.35,180.0,-2.36,9.0,0.0,0.0,180.0
0.0,180.4,180.0,-6.32,9.0,0.0,0.0,180.0
0.0,180.79,180.0,-6.7,9.0,0.0,0.0,180.0
0.0,180.12,180.0,-0.34,9.0,0.0,0.0,180.0
0.0,178.39,180.0,13.74,9.0,0.0,0.0,180.0
0.0,179.48,180.0,6.39,9.0,0.0,0.0,180.0
0.0,180.13,180.0,-1.22,9.0,0.0,0.0,180.0
0.0,179.74,180.0,1.36,9.0,0.0,0.0,180.0
0.0,179.44,180.0,3.94,9.0,0.0,0.0,180.0
0.0,181.15,180.0,-6.13,9.0,0.0,0.0,180.0
0.0,181.46,180.0,-12.86,9.0,0.0,0.0,180.0
0.0,178.97,180.0,8.97,9.0,0.0,0.0,180.0
0.0,180.46,180.0,0.04,9.0,0.0,0.0,180.0
0.0,180.27,180.0,-6.05,9.0,0.0,0.0,180.0
0.0,180.15,180.0,0.56,9.0,0.0,0.0,180.0
0.0,179.39,180.0,5.59,9.0,0.0,0.0,180.0
0.0,178.67,180.0,5.96,9.0,0.0,0.0,180.0
0.0,180.48,180.0,-1.65,9.0,0.0,0.0,180.0
0.0,179.99,180.0,0.05,9.0,0.0,0.0,180.0
0.0,178.95,180.0,10.5,9.0,0.0,0.0,180.0
