Time,Pitch,SetPitch,ControlSignal,Kp,1/Ti,Td,UPRIGHT
0.0,178.72,180.0,11.66,9.0,0.0,0.0,180.0
0.0,178.85,180.0,10.36,9.0,0.0,0.0,180.0
0.0,178.91,180.0,10.03,9.0,0.0,0.0,180.0
0.0,178.99,180.0,9.19,9.0,0.0,0.0,180.0
0.0,179.02,180.0,8.8,9.0,0.0,0.0,180.0
0.0,179.08,180.0,8.36,9.0,0.0,0.0,180.0
0.0,179.11,180.0,8.24,9.0,0.0,0.0,180.0
0.0,179.17,180.0,7.4,9.0,0.0,0.0,180.0
0.0,179.19,180.0,7.34,9.0,0.0,0.0,180.0
0.0,179.14,180.0,7.58,9.0,0.0,0.0,180.0
0.0,178.94,180.0,9.45,9.0,0.0,0.0,180.0
0.0,178.87,180.0,10.22,9.0,0.0,0.0,180.0
0.0,179.18,180.0,7.51,9.0,0.0,0.0,180.0
0.0,178.84,180.0,10.29,9.0,0.0,0.0,180.0
0.0,179.12,180.0,8.33,9.0,0.0,0.0,180.0
0.0,179.21,180.0,6.94,9.0,0.0,0.0,180.0
0.0,178.8,180.0,10.4,9.0,0.0,0.0,180.0
0.0,178.6,180.0,12.44,9.0,0.0,0.0,180.0
0.0,178.7,180.0,11.93,9.0,0.0,0.0,180.0
0.0,178.89,180.0,10.14,9.0,0.0,0.0,180.0
0.0,178.77,180.0,10.99,9.0,0.0,0.0,180.0
0.0,178.96,180.0,9.62,9.0,0.0,0.0,180.0
0.0,179.11,180.0,8.01,9.0,0.0,0.0,180.0
0.0,179.17,180.0,7.69,9.0,0.0,0.0,180.0
0.0,179.17,180.0,7.25,9.0,0.0,0.0,180.0
0.0,178.88,180.0,9.83,9.0,0.0,0.0,180.0
0.0,178.76,180.0,11.25,9.0,0.0,0.0,180.0
0.0,178.87,180.0,10.4,9.0,0.0,0.0,180.0
0.0,178.86,180.0,10.14,9.0,0.0,0.0,180.0
0.0,178.87,180.0,10.46,9.0,0.0,0.0,180.0
0.0,179.15,180.0,7.62,9.0,0.0,0.0,180.0
0.0,179.13,180.0,8.0,9.0,0.0,0.0,180.0
0.0,179.3,180.0,6.33,9.0,0.0,0.0,180.0
0.0,179.17,180.0,7.49,9.0,0.0,0.0,180.0
0.0,179.24,180.0,6.84,9.0,0.0,0.0,180.0
0.0,179.27,180.0,6.65,9.0,0.0,0.0,180.0
0.0,179.3,180.0,6.14,9.0,0.0,0.0,180.0
0.0,179.15,180.0,7.66,9.0,0.0,0.0,180.0
0.0,179.51,180.0,4.65,9.0,0.0,0.0,180.0
0.0,179.29,180.0,6.15,9.0,0.0,0.0,180.0
0.0,179.17,180.0,7.43,11.5,0.0,0.0,180.0
0.0,179.35,180.0,5.95,14.5,0.0,0.0,180.0
0.0,179.35,180.0,5.88,15.0,0.0,0.0,180.0
0.0,179.35,180.0,5.88,15.5,0.0,0.0,180.0
0.0,179.42,180.0,5.37,16.0,0.0,0.0,180.0
0.0,179.48,180.0,4.65,16.5,0.0,0.0,180.0
0.0,179.5,180.0,4.39,17.5,0.0,0.0,180.0
0.0,179.48,180.0,4.58,17.5,0.0,0.0,180.0
0.0,179.4,180.0,5.36,17.5,0.0,0.0,180.0
0.0,179.44,180.0,5.04,17.5,0.0,0.0,180.0
0.0,179.46,180.0,4.97,18.0,0.0,0.0,180.0
0.0,179.49,180.0,4.65,18.0,0.0,0.0,180.0
0.0,179.53,180.0,4.33,18.0,0.0,0.0,180.0
0.0,179.54,180.0,4.15,18.0,0.0,0.0,180.0
0.0,179.51,180.0,4.41,18.0,0.0,0.0,180.0
0.0,179.45,180.0,4.93,18.0,0.0,0.0,180.0
0.0,179.52,180.0,4.47,18.0,0.0,0.0,180.0
0.0,179.64,180.0,3.19,18.0,0.0,0.0,180.0
0.0,179.47,180.0,4.54,18.0,0.0,0.0,180.0
0.0,179.39,180.0,5.7,18.0,0.0,0.0,180.0
0.0,179.44,180.0,5.0,18.0,0.0,0.0,180.0
0.0,179.4,180.0,5.4,18.0,0.0,0.0,180.0
0.0,179.42,180.0,5.38,18.0,0.0,0.0,180.0
0.0,179.49,180.0,4.68,18.0,0.0,0.0,180.0
0.0,179.39,180.0,5.26,18.0,0.0,0.0,180.0
0.0,179.25,180.0,6.73,18.0,0.0,0.0,180.0
0.0,179.27,180.0,6.47,18.0,0.0,0.0,180.0
0.0,179.3,180.0,6.41,18.0,0.0,0.0,180.0
0.0,179.44,180.0,5.2,18.0,0.0,0.0,180.0
0.0,179.4,180.0,5.2,18.0,0.0,0.0,180.0
0.0,179.27,180.0,6.54,18.0,0.0,0.0,180.0
0.0,179.39,180.0,5.53,18.0,0.0,0.0,180.0
0.0,179.39,180.0,5.41,18.0,0.0,0.0,180.0
0.0,179.29,180.0,6.37,18.0,0.0,0.0,180.0
0.0,179.45,180.0,5.08,18.0,0.0,0.0,180.0
0.0,179.46,180.0,4.83,18.0,0.55,0.0,180.0
0.0,179.4,180.0,5.34,18.0,0.55,0.0,180.0
0.0,179.41,180.0,5.34,18.0,0.55,0.0,180.0
0.0,179.39,180.0,5.32,18.0,0.55,0.0,180.0
0.0,179.45,180.0,5.08,18.0,0.55,0.0,180.0
0.0,179.44,180.0,5.0,18.0,0.55,0.0,180.0
0.0,179.45,180.0,4.8,18.0,0.55,0.0,180.0
0.0,179.42,180.0,5.46,18.0,0.0,0.0,180.0
0.0,179.44,180.0,5.01,18.0,0.0,0.0,180.0
0.0,179.48,180.0,4.74,18.0,0.0,0.0,180.0
0.0,179.47,180.0,4.61,18.0,0.0,0.0,180.0
0.0,179.27,180.0,6.48,18.0,0.0,0.0,180.0
0.0,179.27,180.0,6.48,18.0,0.0,0.0,180.0
0.0,179.32,180.0,6.16,18.0,0.0,0.0,180.0
0.0,179.39,180.0,5.38,18.0,0.0,0.0,180.0
0.0,179.34,180.0,5.9,18.0,0.0,0.0,180.0
0.0,179.33,180.0,6.03,18.0,0.0,0.0,180.0
0.0,179.38,180.0,5.58,18.0,0.0,0.0,180.0
0.0,179.16,180.0,7.32,18.0,0.0,0.0,180.0
0.0,179.16,180.0,7.58,18.0,0.0,0.0,180.0
0.0,179.24,180.0,6.94,18.0,0.0,0.0,180.0
0.0,179.23,180.0,6.94,18.0,0.0,0.0,180.0
0.0,179.19,180.0,7.26,18.0,0.0,0.0,180.0
0.0,179.26,180.0,6.48,18.0,0.0,0.0,180.0
0.0,179.01,180.0,8.88,18.0,0.0,0.0,180.0
0.0,179.04,180.0,8.74,18.0,0.0,0.0,180.0
0.0,179.24,180.0,7.0,18.0,0.0,0.0,180.0
0.0,179.33,180.0,5.96,18.0,0.0,0.0,180.0
0.0,179.32,180.0,6.22,18.0,0.0,0.0,180.0
0.0,179.22,180.0,6.93,18.0,0.0,0.0,180.0
0.0,179.16,180.0,7.63,18.0,0.0,0.0,180.0
0.0,179.18,180.0,7.37,18.0,0.0,0.0,180.0
0.0,179.14,180.0,7.71,18.0,0.0,0.0,180.0
0.0,179.12,180.0,7.95,18.0,0.0,0.0,180.0
0.0,179.35,180.0,6.07,18.0,0.0,0.0,180.0
0.0,179.26,180.0,6.47,18.0,0.0,0.0,180.0
0.0,179.06,180.0,8.33,18.0,0.0,0.0,180.0
0.0,179.05,180.0,8.59,18.0,0.0,0.0,180.0
0.0,178.95,180.0,9.42,18.0,0.0,0.0,180.0
0.0,178.95,180.0,9.3,18.0,0.0,0.0,180.0
0.0,178.93,180.0,9.8,18.0,0.0,0.0,180.0
0.0,179.08,180.0,8.33,18.0,0.0,0.0,180.0
0.0,179.12,180.0,7.83,18.0,0.0,0.0,180.0
0.0,179.08,180.0,8.41,18.0,0.0,0.0,180.0
0.0,179.15,180.0,7.66,18.0,0.0,0.0,180.0
0.0,179.14,180.0,7.66,18.0,0.0,0.0,180.0
0.0,179.15,180.0,7.73,18.0,0.0,0.0,180.0
0.0,179.15,180.0,7.61,18.0,0.0,0.0,180.0
0.0,179.18,180.0,7.41,18.0,0.0,0.0,180.0
0.0,179.18,180.0,7.35,18.0,0.0,0.0,180.0
0.0,179.21,180.0,7.1,18.0,0.0,0.0,180.0
0.0,179.1,180.0,8.14,18.0,0.0,0.0,180.0
0.0,179.31,180.0,6.19,18.0,0.0,0.0,180.0
0.0,179.18,180.0,7.15,18.0,0.0,0.0,180.0
0.0,179.18,180.0,7.35,18.0,0.0,0.0,180.0
0.0,178.84,180.0,10.04,18.0,0.0,0.0,180.0
0.0,178.65,180.0,11.82,18.0,0.0,0.0,180.0
0.0,178.43,180.0,13.85,18.0,0.0,0.0,180.0
0.0,177.67,180.0,20.32,18.0,0.0,0.0,180.0
0.0,177.4,180.0,23.24,18.0,0.0,0.0,180.0
0.0,177.13,180.0,25.43,18.0,0.0,0.0,180.0
0.0,176.68,180.0,29.72,18.0,0.0,0.0,180.0
0.0,176.67,180.0,30.04,18.0,0.0,0.0,180.0
0.0,176.94,180.0,28.0,18.0,0.0,0.0,180.0
0.0,177.46,180.0,23.27,18.0,0.0,0.0,180.0
0.0,177.88,180.0,19.57,18.0,0.0,0.0,180.0
0.0,178.24,180.0,16.06,18.0,0.0,0.0,180.0
0.0,178.48,180.0,13.97,18.0,0.0,0.0,180.0
0.0,178.87,180.0,10.53,18.0,0.0,0.0,180.0
0.0,179.31,180.0,6.96,18.0,0.0,0.0,180.0
0.0,179.73,180.0,2.73,18.0,0.0,0.0,180.0
0.0,180.03,180.0,-0.11,18.0,0.0,0.0,180.0
0.0,179.94,180.0,0.54,18.0,0.0,0.0,180.0
0.0,179.84,180.0,1.44,18.0,0.0,0.0,180.0
0.0,179.95,180.0,0.41,18.0,0.0,0.0,180.0
0.0,179.97,180.0,0.23,18.0,0.0,0.0,180.0
0.0,180.06,180.0,-0.54,18.0,0.0,0.0,180.0
0.0,180.06,180.0,-0.54,18.0,0.0,0.0,180.0
0.0,180.0,180.0,-0.03,18.0,0.0,0.0,180.0
0.0,180.08,180.0,-0.66,18.0,0.0,0.0,180.0
0.0,180.1,180.0,-0.92,18.0,0.0,0.0,180.0
0.0,180.21,180.0,-1.87,18.0,0.0,0.0,180.0
0.0,180.11,180.0,-1.23,18.0,0.0,0.0,180.0
0.0,179.66,180.0,2.54,18.0,0.0,0.0,180.0
0.0,179.53,180.0,4.51,18.0,0.0,0.0,180.0
0.0,179.87,180.0,1.53,18.0,0.0,0.0,180.0
0.0,180.07,180.0,-0.58,18.0,0.0,0.0,180.0
0.0,180.09,180.0,-0.78,18.0,0.0,0.0,180.0
0.0,180.05,180.0,-0.46,18.0,0.0,0.0,180.0
0.0,180.1,180.0,-0.92,18.0,0.0,0.0,180.0
0.0,180.11,180.0,-1.04,18.0,0.0,0.0,180.0
0.0,180.16,180.0,-1.29,18.0,0.0,0.0,180.0
0.0,180.19,180.0,-1.75,18.0,0.0,0.0,180.0
0.0,180.16,180.0,-1.42,18.0,0.0,0.0,180.0
0.0,180.23,180.0,-1.93,18.0,0.0,0.0,180.0
0.0,180.26,180.0,-2.37,18.0,0.0,0.0,180.0
0.0,180.27,180.0,-2.37,18.0,0.0,0.0,180.0
0.0,180.27,180.0,-2.57,18.0,0.0,0.0,180.0
0.0,180.21,180.0,-1.92,18.0,0.0,0.0,180.0
0.0,180.26,180.0,-2.31,18.0,0.0,0.0,180.0
0.0,180.21,180.0,-1.99,18.0,0.0,0.0,180.0
0.0,180.13,180.0,-1.09,18.0,0.0,0.0,180.0
0.0,180.21,180.0,-1.79,18.0,0.0,0.0,180.0
0.0,180.51,180.0,-4.29,18.0,0.0,0.0,180.0
0.0,181.0,180.0,-8.54,18.0,0.0,0.0,180.0
0.0,181.54,180.0,-13.44,18.0,0.0,0.0,180.0
0.0,181.71,180.0,-15.43,18.0,0.0,0.0,180.0
0.0,181.63,180.0,-14.66,18.0,0.0,0.0,180.0
0.0,181.61,180.0,-14.58,18.0,0.0,0.0,180.0
0.0,181.37,180.0,-12.73,18.0,0.0,0.0,180.0
0.0,180.91,180.0,-8.59,18.0,0.0,0.0,180.0
0.0,180.42,180.0,-4.26,18.0,0.0,0.0,180.0
0.0,180.0,180.0,-0.31,18.0,0.0,0.0,180.0
0.0,179.78,180.0,1.8,18.0,0.0,0.0,180.0
0.0,179.64,180.0,3.13,18.0,0.0,0.0,180.0
0.0,179.76,180.0,2.36,18.0,0.0,0.0,180.0
0.0,180.15,180.0,-0.96,18.0,0.0,0.0,180.0
0.0,180.5,180.0,-4.2,18.0,0.0,0.0,180.0
